City,Prominent Pollutant,Stations Ratio,Predicted AQI
Agartala,5,0.5,127.1
Agra,5,1.0,108.02
Ahmedabad,9,1.0,126.13
Ahmednagar,9,1.0,120.93
Aizawl,5,1.0,122.15
Ajmer,5,1.0,106.29
Akola,5,1.0,123.59
Alwar,5,1.0,98.97
Amaravati,5,1.0,91.09
Amravati,5,1.0,92.49
Amritsar,9,1.0,151.19
Angul,9,1.0,167.56
Ankleshwar,9,1.0,146.8
Araria,5,1.0,177.93
Arrah,9,1.0,243.8
Asansol,9,1.0,243.78
Aurangabad (Bihar),9,1.0,238.0
Aurangabad (Maharashtra),7,0.6666666666666666,144.8
Baddi,9,1.0,232.18
Badlapur,2,1.0,99.96
Bagalkot,5,1.0,72.3
Baghpat,5,0.5,202.86
Balasore,9,1.0,126.02
Banswara,5,1.0,97.64
Baran,5,1.0,90.56
Barbil,5,1.0,91.17
Bareilly,4,1.0,86.96
Baripada,9,1.0,145.57
Barmer,5,1.0,101.79
Barrackpore,9,1.0,162.92
Bathinda,5,1.0,117.76
Begusarai,9,1.0,203.32
Belapur,5,1.0,135.75
Bengaluru,7,0.8571428571428571,133.6
Bettiah,9,1.0,156.15
Bhagalpur,9,1.0,201.32
Bharatpur,9,1.0,178.76
Bhilai,5,1.0,98.65
Bhilwara,9,1.0,176.18
Bhiwadi,9,1.0,218.12
Bhiwandi,5,1.0,114.51
Bhopal,7,1.0,126.8
Bhubaneswar,7,1.0,114.86
Bihar Sharif,9,1.0,187.4
Bikaner,9,1.0,152.54
Bilaspur,9,1.0,144.25
Bileipada,9,1.0,151.41
Boisar,9,1.0,154.6
Brajrajnagar,5,1.0,127.88
Bulandshahr,9,1.0,194.28
Bundi,5,1.0,121.99
Buxar,9,1.0,189.43
Byasanagar,9,1.0,191.67
Byrnihat,9,1.0,302.22
Chamarajanagar,5,1.0,78.69
Chandigarh,9,1.0,216.09
Chandrapur,6,1.0,108.5
Charkhi Dadri,5,1.0,109.49
Chennai,7,0.7777777777777778,149.37
Chhal,9,1.0,133.18
Chikkaballapur,9,1.0,119.12
Chikkamagaluru,5,1.0,76.37
Chittorgarh,5,1.0,101.2
Churu,2,1.0,139.14
Coimbatore,9,1.0,116.48
Cuddalore,9,0.5,120.77
Cuttack,5,1.0,94.7
Damoh,5,1.0,93.5
Dausa,5,1.0,136.79
Davanagere,5,1.0,110.86
Dehradun,5,1.0,92.51
Delhi,7,0.7948717948717948,265.97
Dewas,9,1.0,137.36
Dhanbad,5,0.5,121.61
Dharwad,5,1.0,87.94
Dholpur,5,1.0,106.3
Dhule,5,1.0,114.34
Dindigul,5,1.0,141.16
Dungarpur,5,1.0,111.04
Durgapur,8,1.0,242.87
Eloor,9,1.0,129.6
Faridabad,9,0.5,195.56
Firozabad,5,1.0,79.09
Gadag,5,1.0,79.09
Gandhinagar,9,0.6666666666666666,223.32
Gaya,4,1.0,148.6
Ghaziabad,9,1.0,212.54
Gorakhpur,9,1.0,176.82
Greater Noida,9,1.0,196.22
Gummidipoondi,9,1.0,192.74
Gurugram,9,0.5,244.39
Guwahati,9,1.0,258.3
Gwalior,3,0.75,161.4
Hajipur,9,1.0,183.15
Haldia,9,1.0,179.13
Hanumangarh,9,1.0,233.63
Hapur,9,1.0,222.04
Howrah,7,1.0,146.75
Hubballi,5,0.5,97.93
Hyderabad,9,0.8571428571428571,143.89
Imphal,10,0.5,124.02
Indore,5,0.6666666666666666,110.75
Jabalpur,5,1.0,101.99
Jaipur,1,0.8333333333333334,133.28
Jaisalmer,9,1.0,146.73
Jalandhar,9,1.0,146.73
Jalore,5,1.0,122.91
Jhalawar,9,1.0,129.56
Jhansi,5,1.0,131.42
Jhunjhunu,5,1.0,129.62
Jodhpur,7,1.0,129.38
Kalaburagi,9,0.5,102.68
Kalyan,6,1.0,95.34
Kanchipuram,5,1.0,74.34
Kannur,5,1.0,69.53
Kanpur,9,0.75,182.76
Karauli,5,1.0,89.55
Karur,5,1.0,73.17
Kashipur,9,1.0,157.66
Katihar,9,1.0,172.41
Katni,5,1.0,131.69
Keonjhar,5,1.0,91.9
Khanna,5,1.0,96.88
Khurja,5,1.0,161.6
Kishanganj,5,1.0,253.74
Kohima,9,1.0,193.63
Kolar,9,1.0,193.63
Kolhapur,7,1.0,162.78
Kolkata,5,1.0,130.48
Kollam,9,1.0,193.63
Korba,5,1.0,136.78
Kota,9,1.0,150.31
Kunjemura,5,1.0,216.72
Latur,9,1.0,171.64
Lucknow,9,1.0,217.87
Ludhiana,5,1.0,110.06
Madikeri,5,1.0,76.53
Madurai,5,1.0,74.76
Mahad,9,1.0,158.6
Maihar,5,1.0,67.32
Malegaon,9,1.0,137.48
